url,price,area,floor,metro,time_to_metro_minutes,finish,renovation,house_type,parking,date
https://www.cian.ru/sale/flat/294900086/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,259305080,414.0,30 из 31,Давыдково,5,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/323128668/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,20741700,24.9,9 из 12,Преображенская площадь,5,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/325998094/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,320000000,155.0,15 из 20,Баррикадная,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325678302/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,169970000,172.0,19 из 41,Динамо,15,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323634713/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,20412721,41.08,25 из 28,Нижегородская,12,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/321176436/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,148500000,124.0,4 из 8,Китай-город,14,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325557319/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,24834187,71.4,11 из 33,Текстильщики,20,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/322885170/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,46185530,90.1,8 из 25,Петровский Парк,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/325275307/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,140000000,128.3,18 из 34,Парк Победы,17,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/323460334/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,15032710,27.5,19 из 23,Зорге,19,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324928048/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,98000000,121.45,34 из 40,Минская,15,-1,-1,0,0,2026-01-29
